,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.009199767384901985,0.01593884877495298,-0.019869609376412203,0.025138616159854965,-0.010669841991510219
vader_neg,-0.04350142839016873,0.9729800780347253,0.4832525119489667,1.016481506424894,0.5267539403391354
vader_pos_minus_neg,0.03629803001661023,-0.8619541782819006,-0.3783377683859703,-0.8982522082985108,-0.4146357984025805
vader_compound,0.03475871913266493,-0.7546542193595365,-0.4935949020512073,-0.7894129384922014,-0.5283536211838722
second_person_density,-0.029787030624340943,0.7593167283589886,0.31627483302080694,0.7891037589833295,0.3460618636451479
char_count,0.013467915818204574,-0.2802293505127719,-0.1364327051253872,-0.2936972663309765,-0.14990062094359177
uppercase_ratio,-0.029028634116201088,0.4877151110032166,0.27669488820513977,0.5167437451194177,0.30572352232134087
avg_sentence_length,0.005321687387187659,0.030813675355568212,-0.05300521365610346,0.025491987968380554,-0.05832690104329112
vader_intensity,0.00012439641121111806,-0.06217803811662721,0.029006518675277163,-0.06230243452783833,0.028882122264066043
word_count,0.012996191307285373,-0.269707342808612,-0.12544432696096688,-0.2827035341158974,-0.13844051826825227
vader_is_negative,-0.028280415827677152,0.5875089472513035,0.4747092764169482,0.6157893630789807,0.5029896922446253
unique_word_ratio,-0.012251227034761518,0.380680700442902,0.1829342261244563,0.3929319274776635,0.19518545315921784
vader_pos,0.01175248191180706,-0.3410882040100055,-0.0916818070244502,-0.35284068592181256,-0.10343428893625725
exclamation_count,-0.011362088708247044,0.006394000974189809,0.007262316793989776,0.017756089682436853,0.018624405502236818
second_person_count,-0.0062996373104867495,0.05527680557562718,0.04705799387001397,0.061576442886113934,0.05335763118050072
sentence_count,-0.0004094460607647017,-0.09979311288782458,-0.022453911903644572,-0.09938366682705987,-0.02204446584287987
negation_count,0.003904014325873605,-0.22543725200452996,-0.06286005117673618,-0.22934126633040358,-0.06676406550260978
consecutive_punct_count,0.00398905575316922,-0.19216414050640676,-0.029334734966965238,-0.19615319625957597,-0.03332379072013446
has_second_person,-0.01267726377499113,0.2246111400678252,0.1944658292525941,0.23728840384281633,0.2071430930275852
identity_sexuality,-0.007285975673490189,0.15037885935345455,0.23970616313010049,0.15766483502694473,0.24699213880359067
