alpha,learning_rate,val_pr_auc_mean,val_pr_auc_std,val_roc_auc_mean,val_macro_f1_mean
0.0001,0.1,0.8010225807982971,0.008677354724406902,0.9616615573955963,0.7840399729089149
0.001,0.1,0.7878455346504845,0.009034503474890604,0.9576967790285578,0.830663235354592
0.0001,0.05,0.7871994809231181,0.009274904940959136,0.9576798443884927,0.7773110934638178
0.001,0.05,0.7782674031860412,0.009460332894113155,0.9544741468725044,0.7713660267880615
0.0001,0.01,0.7626659480113227,0.010060872983949273,0.9490210777672801,0.7676899499047055
0.001,0.01,0.7567887474556438,0.010148088828472542,0.9462861167155158,0.7624166200449819
0.0001,0.001,0.7515769061757032,0.01035095371196702,0.9445622369290175,0.7693526744690616
0.001,0.001,0.7476023935874606,0.010382581912109263,0.9425182806469448,0.7645969521293547
0.01,0.001,0.6727525891104028,0.010543333009360065,0.9006096030278794,0.6270773288800396
0.01,0.1,0.6726026335059789,0.011228971681835707,0.902341343225722,0.6572373159961685
0.01,0.01,0.6633918744297423,0.010604246745694745,0.8947970260673369,0.6273003570632307
0.01,0.05,0.6623563233841459,0.01131656228745308,0.8953424522407343,0.6364637536188427
0.05,0.001,0.3006774627389655,0.006699336081005173,0.7844779762845338,0.5752775472538678
0.05,0.01,0.28902955324506735,0.005502780644402976,0.7762845421540444,0.5752775472538678
0.05,0.05,0.28902955324506735,0.005502780644402976,0.7762845421540444,0.5752775472538678
0.05,0.1,0.1825554037600373,0.0022004109525077973,0.7242636150878776,0.5752775472538678
0.1,0.001,0.1825554037600373,0.0022004109525077973,0.7242636150878776,0.47725963692013984
0.1,0.01,0.1825554037600373,0.0022004109525077973,0.7242636150878776,0.5752775472538678
0.1,0.05,0.1825554037600373,0.0022004109525077973,0.7242636150878776,0.5752775472538678
0.1,0.1,0.1825554037600373,0.0022004109525077973,0.7242636150878776,0.5752775472538678
0.5,0.001,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
0.5,0.01,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
0.5,0.05,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
0.5,0.1,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
1.0,0.001,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
1.0,0.01,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
1.0,0.05,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
1.0,0.1,0.09584351697533301,1.5015551896147004e-06,0.5,0.39735798660679145
