,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.00951489769733728,0.0380277742110405,-0.023800833741125772,0.04754267190837778,-0.014285936043788493
word_count,0.006700525091786066,0.10460282092273557,-0.21887212348226917,0.0979022958309495,-0.22557264857405523
vader_neg,-0.04987881532686788,1.5004901063662575,0.36197009867180646,1.5503689216931253,0.41184891399867435
sentence_count,-0.006226090092787294,0.2833699462516352,-0.12546215989191195,0.2895960363444225,-0.11923606979912466
elongated_token_count,-0.007566293132794994,0.1914041397941129,-0.015197743077911746,0.1989704329269079,-0.0076314499451167524
vader_compound,0.034452876311264195,-0.89347709617196,-0.4322944546829271,-0.9279299724832242,-0.4667473309941913
second_person_count,-0.00894910373758523,0.25170603119300766,-0.008828671342350807,0.2606551349305929,0.00012043239523442349
second_person_density,-0.02713203146085048,0.7406765617948963,0.3018729430880855,0.7678085932557468,0.32900497454893596
slang_count,-0.006360357176995898,0.1177701961548368,0.010091265770866182,0.1241305533318327,0.01645162294786208
avg_sentence_length,0.0037892372268159185,0.05849752700484387,-0.025781228107071723,0.05470828977802795,-0.02957046533388764
exclamation_count,-0.01209617001813914,0.0511443408428742,-0.0018513975484698434,0.06324051086101334,0.010244772469669296
uppercase_ratio,-0.029677999244191042,0.7635368095144743,0.13782795416920296,0.7932148087586653,0.167505953413394
vader_pos,0.005362569287478573,-0.1208449294867328,-0.08609613758155854,-0.12620749877421136,-0.09145870686903712
identity_sexuality,-0.014869310178706352,0.6298678941191372,0.13038393612332078,0.6447372042978436,0.14525324630202713
vader_is_negative,-0.03164688010936423,0.93084439779814,0.3656334865214507,0.9624912779075042,0.39728036663081495
char_count,0.006781351205518348,0.09739470381189344,-0.2218038683009262,0.0906133526063751,-0.22858521950644453
vader_pos_minus_neg,0.03642447867533182,-1.0698293061876396,-0.29454293086963895,-1.1062537848629714,-0.3309674095449708
unique_word_ratio,-0.005166356609971045,0.07307871453118872,0.2164307272260184,0.07824507114115976,0.22159708383598944
identity_gender,-0.012120808619546664,0.3299290392350732,0.07224722886093822,0.3420498478546199,0.08436803748048488
url_count,0.0032352634430679477,-0.05828842619372643,-0.05936955978333218,-0.061523689636794374,-0.06260482322640012
