mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8.93370763460795,0.3158634081803904,0.11972387631734212,0.02457661590827968,10,2,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7446271095513971,0.7340230341343243,0.7419009692163229,0.7401837043006815,0.004496172665398235,10
17.817129055658977,0.027676678225048535,0.36984841028849286,0.04286722591082826,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7457278572322139,0.7359033592710659,0.7432115411761506,0.7416142525598102,0.004166828389400318,7
9.18307630221049,0.1098286595574471,0.0946806271870931,0.0048605017404377265,10,5,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7454326827500667,0.7370954131831794,0.7436091859443422,0.7420457606258628,0.003578709264766018,6
16.99439350763957,0.09394482902882335,0.35109543800354004,0.06277659051092244,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7470553756670927,0.7378631057883436,0.7445664885982874,0.7431616566845746,0.0038819772376354087,5
13.233872969945272,0.4226198422289381,0.3614756266276042,0.07223129273571431,20,2,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.743958135087247,0.7317359832167232,0.7431817068437028,0.7396252750492242,0.00558756980079414,11
26.012966632843018,0.3069641915704093,0.8711930910746256,0.08537311559223369,20,2,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7451816813200126,0.7332607297702934,0.7454748331146348,0.7413057480683136,0.005689945755762655,9
12.692567904790243,0.08767679947334321,0.3188646634419759,0.07073177948559607,20,5,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7502674892222033,0.7384300784721443,0.7495450501058954,0.746080872600081,0.0054179619575535675,4
28.38947335879008,0.06481188476503584,0.8058099746704102,0.1028262209183501,20,5,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7515632100340108,0.7395028512766669,0.7522903966153474,0.7477854859753418,0.005864226476117007,2
16.540242592493694,0.390667142780458,0.4059573809305827,0.03866731036682881,,2,100,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7443494197498496,0.7292399410023281,0.7368387507181844,0.7368093704901207,0.006168453852941397,12
26.24611560503642,2.675816571628311,0.5795133908589681,0.13249214769714485,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.74877098436621,0.734402936134898,0.7410502669949082,0.7414080624986722,0.0058711847589853145,8
13.651957432428995,0.33512482949756073,0.42338132858276367,0.05795882398851634,,5,100,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7540652937931971,0.7405121020949206,0.7448594839226759,0.7464789599369311,0.005650326139443577,3
15.329036315282186,3.5984784301537687,0.2060426870981852,0.04808426543041063,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7551192050627841,0.7418570453423693,0.7488596600338252,0.7486119701463262,0.005417086106184456,1
